genus,species,SDWSC
Microcyclops,rubellus,Microcyclops rubellus
Microstella,norvegica,Microstella norvegica
Moina,NA,Moina NA
Monospilus,dispar,Monospilus dispar
Monospilus,NA,Monospilus NA
Monostyla,bulla,Monostyla bulla
Monostyla,closterocerca,Monostyla closterocerca
Monostyla,cornuta,Monostyla cornuta
Monostyla,NA,Monostyla NA
Monostyla,quadridentata,Monostyla quadridentata
nauplii,NA,nauplii NA
Notholca,acuminata,Notholca acuminata
Notholca,marina,Notholca marina
Notholca,squamula,Notholca squamula
ostracod,NA,ostracod NA
Paracyclops,chiltoni,Paracyclops chiltoni
Paracyclops,NA,Paracyclops NA
Paracyclops,poppei,Paracyclops poppei
Picripleuroxus,denticulatus,Picripleuroxus denticulatus
Plationus,patulus,Plationus patulus
Platyias,patulus,Platyias patulus
Platyias,quadricornis,Platyias quadricornis
Pleuroxus,denticulatus,Pleuroxus denticulatus
Pleuroxus,hamulatus,Pleuroxus hamulatus
Pleuroxus,NA,Pleuroxus NA
Ploesoma,hudsoni,Ploesoma hudsoni
Ploesoma,truncatum,Ploesoma truncatum
Polyarthra,dolichoptera,Polyarthra dolichoptera
Polyarthra,major,Polyarthra major
Polyarthra,NA,Polyarthra NA
Polyarthra,remata,Polyarthra remata
Polyarthra,vulgaris,Polyarthra vulgaris
Pompholyx,sulcata,Pompholyx sulcata
Proales,NA,Proales NA
Pseudochydorus,globosus,Pseudochydorus globosus
Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi
Rotaria,NA,Rotaria NA
Rotaria,neptunia,Rotaria neptunia
Rotaria,neputina,Rotaria neputina
Scapholeberis,mucronata,Scapholeberis mucronata
Scapholeberis,NA,Scapholeberis NA
Simocephalus,NA,Simocephalus NA
Simocephalus,vetulus,Simocephalus vetulus
Sinocalanus,doerri,Sinocalanus doerri
Skistodiaptomus,pallidus,Skistodiaptomus pallidus
Skistodiaptomus,pygmaeus,Skistodiaptomus pygmaeus
Synchaeta,bicornis,Synchaeta bicornis
Synchaeta,NA,Synchaeta NA
Testudinella,NA,Testudinella NA
Testudinella,patina,Testudinella patina
Trichocerca,multicrinis,Trichocerca multicrinis
Trichocerca,NA,Trichocerca NA
Trichocerca,pusilla,Trichocerca pusilla
Trichocerca,rattus,Trichocerca rattus
Trichocerca,rousseleti,Trichocerca rousseleti
Trichotria,tetractis,Trichotria tetractis
Tropocyclops,prasinus,Tropocyclops prasinus
unidentified,veliger,unidentified veliger
veliger,quagga,veliger quagga
